"date","weighted","close","high","low","open","volume"
"2017-06-13 01:06:00","0.551865","0.587","0.589","0.538","0.553","89085.41"
"2017-06-14 01:06:00","0.557958","0.5202","0.6101","0.4795","0.587","4352877.46"
"2017-06-15 01:06:00","0.384663","0.3467","0.5447","0.2912","0.5202","2693369.33"
"2017-06-16 01:06:00","0.403856","0.4082","0.599","0.3053","0.3467","1857604.87"
"2017-06-17 01:06:00","0.437744","0.428","0.4512","0.4","0.4082","622794.3"
"2017-06-18 01:06:00","0.412033","0.4056","0.4502","0.385","0.428","722974.53"
"2017-06-19 01:06:00","0.416359","0.4254","0.435","0.395","0.4056","788130.95"
"2017-06-20 01:06:00","0.429705","0.4405","0.4472","0.411","0.4254","1391167.54"
"2017-06-21 01:06:00","0.442622","0.425","0.4624","0.415","0.4405","1528500.55"
"2017-06-22 01:06:00","0.434989","0.4373","0.4499","0.4114","0.425","469896.82"
"2017-06-23 01:06:00","0.456874","0.4828","0.4828","0.433","0.4373","928850.24"
"2017-06-24 01:06:00","0.536405","0.5053","0.6289","0.4767","0.4828","4742047.02"
"2017-06-25 01:06:00","0.483793","0.4653","0.5214","0.4401","0.5053","1707780.99"
"2017-06-26 01:06:00","0.39078","0.408","0.4659","0.3401","0.4653","2770249.45"
"2017-06-27 01:06:00","0.371996","0.394","0.42","0.3483","0.408","1203467.51"
"2017-06-28 01:06:00","0.372211","0.373","0.4","0.3511","0.394","1255278.06"
"2017-06-29 01:06:00","0.407192","0.411","0.4599","0.3619","0.373","1584518.22"
"2017-06-30 01:06:00","0.424382","0.398","0.449","0.393","0.411","1065339.66"
"2017-07-01 01:07:00","0.38947","0.3811","0.4129","0.3701","0.398","654289.32"
"2017-07-02 01:07:00","0.373076","0.3769","0.39","0.36","0.3811","844444.57"
"2017-07-03 01:07:00","0.367204","0.376","0.385","0.35","0.3769","1359977.28"
"2017-07-04 01:07:00","0.391038","0.3938","0.4098","0.3702","0.376","1126011.22"
"2017-07-05 01:07:00","0.381623","0.381","0.3987","0.3681","0.3938","883114.64"
"2017-07-06 01:07:00","0.35257","0.3529","0.3851","0.3033","0.381","3901437.55"
"2017-07-07 01:07:00","0.302768","0.2822","0.3565","0.27","0.3529","3613254.61"
"2017-07-08 01:07:00","0.297026","0.3003","0.3202","0.2751","0.2822","1526339.31"
"2017-07-09 01:07:00","0.295275","0.3","0.3125","0.2829","0.3003","891132.55"
"2017-07-10 01:07:00","0.237545","0.21","0.3041","0.1837","0.3","5296590.19"
"2017-07-11 01:07:00","0.205161","0.1869","0.2342","0.1837","0.21","3061285.43"
"2017-07-12 01:07:00","0.214282","0.2288","0.2395","0.1806","0.1869","2354393.15"
"2017-07-13 01:07:00","0.214182","0.2129","0.239","0.1875","0.2288","1739467.77"
"2017-07-14 01:07:00","0.181181","0.1751","0.2131","0.1602","0.2129","1387934.01"
"2017-07-15 01:07:00","0.159212","0.1582","0.1763","0.1427","0.1751","2300878.63"
"2017-07-16 01:07:00","0.171817","0.178","0.188","0.155","0.1582","1876063.18"
"2017-07-17 01:07:00","0.237922","0.264","0.28","0.1767","0.178","7509664.3"
"2017-07-18 01:07:00","0.287067","0.268","0.3123","0.246","0.264","6657222.4"
"2017-07-19 01:07:00","0.254382","0.2314","0.2849","0.23","0.268","3743900.98"
"2017-07-20 01:07:00","0.277621","0.2937","0.3043","0.2302","0.2314","5318148.16"
"2017-07-21 01:07:00","0.280959","0.2595","0.3078","0.2452","0.2937","3641056.26"
"2017-07-22 01:07:00","0.265087","0.2716","0.2785","0.2536","0.2595","1940216.9"
"2017-07-23 01:07:00","0.268696","0.2649","0.28","0.2551","0.2716","1593743.24"
"2017-07-24 01:07:00","0.257573","0.2674","0.273","0.2361","0.2649","2223748.01"
"2017-07-25 01:07:00","0.248899","0.25","0.2688","0.2365","0.2674","1449237.77"
"2017-07-26 01:07:00","0.268504","0.2744","0.2845","0.2409","0.25","2070284.26"
"2017-07-27 01:07:00","0.279549","0.273","0.285","0.2711","0.2744","1653067.65"
"2017-07-28 01:07:00","0.268979","0.2651","0.2765","0.262","0.273","801625.57"
"2017-07-29 01:07:00","0.258934","0.2767","0.278","0.243","0.2651","1129721.44"
"2017-07-30 01:07:00","0.2632","0.2547","0.278","0.2502","0.2767","1506166.63"
"2017-07-31 01:07:00","0.252369","0.254","0.26","0.244","0.2547","774020.48"
"2017-08-01 01:08:00","0.275695","0.291","0.294","0.2493","0.254","2349162.12"
"2017-08-02 01:08:00","0.280807","0.286","0.2939","0.2715","0.291","1649745.33"
"2017-08-03 01:08:00","0.318387","0.3319","0.3392","0.285","0.286","4842192.93"
"2017-08-04 01:08:00","0.388635","0.3937","0.4217","0.3315","0.3319","10871829.36"
"2017-08-05 01:08:00","0.402915","0.408","0.4316","0.3601","0.3937","5389189.87"
"2017-08-06 01:08:00","0.41216","0.4299","0.44","0.395","0.408","2911311.32"
"2017-08-07 01:08:00","0.460464","0.474","0.49","0.411","0.4299","7356892.23"
"2017-08-08 01:08:00","0.50591","0.5481","0.5517","0.4555","0.474","12202146.77"
"2017-08-09 01:08:00","0.533032","0.53","0.557","0.5091","0.5481","7137062.66"
"2017-08-10 01:08:00","0.55838","0.5624","0.5892","0.5069","0.53","9266383.94"
"2017-08-11 01:08:00","0.636578","0.6547","0.7177","0.5561","0.5624","21553380.53"
