location,month,year,tmax,tmin,frost days,rain mm,sun hours,tmax-n,tmin-n,frost-n,rain-n,sun-n
1,1,1957,8.7,2.7,5,39.5,53,0.287272727,0.342723005,0.178571429,0.224641834,0.118312757
1,2,1957,9,2.9,5,69.8,64.9,0.298181818,0.352112676,0.178571429,0.398280802,0.159122085
1,3,1957,13.9,5.7,2,25.4,96.7,0.476363636,0.483568075,0.071428571,0.143839542,0.268175583
1,4,1957,14.2,5.2,1,5.7,169.6,0.487272727,0.460093897,0.035714286,0.030945559,0.518175583
1,5,1957,16.2,6.5,0,21.3,195,0.56,0.521126761,0,0.12034384,0.605281207
1,6,1957,23.6,10.7,0,22.4,284.5,0.829090909,0.718309859,0,0.126647564,0.912208505
1,7,1957,22.5,13.8,0,87,152.3,0.789090909,0.863849765,0,0.496848138,0.458847737
1,8,1957,21.1,12.5,0,86.2,154.4,0.738181818,0.802816901,0,0.49226361,0.466049383
1,9,1957,17.6,10.1,0,51.7,88.5,0.610909091,0.690140845,0,0.294555874,0.24005487
1,10,1957,15.5,7.7,0,47,85.9,0.534545455,0.577464789,0,0.267621777,0.231138546
1,11,1957,9.4,4.3,2,59.5,67.5,0.312727273,0.417840376,0.071428571,0.339255014,0.168038409
1,12,1957,7.6,1,11,42.1,40.8,0.247272727,0.262910798,0.392857143,0.239541547,0.076474623
1,1,1958,6.8,0.9,10,64.3,40.1,0.218181818,0.258215962,0.357142857,0.366762178,0.074074074
1,2,1958,8.9,1.9,10,58.7,45.7,0.294545455,0.305164319,0.357142857,0.334670487,0.093278464
1,3,1958,8.1,1.1,10,26,105.2,0.265454545,0.267605634,0.357142857,0.147277937,0.297325103
1,4,1958,12.3,3.8,3,29.5,153.2,0.418181818,0.394366197,0.107142857,0.167335244,0.461934156
1,5,1958,17.3,7.8,0,59.5,189.2,0.6,0.582159624,0,0.339255014,0.585390947
1,6,1958,19.4,10.7,0,104.3,152.2,0.676363636,0.718309859,0,0.595988539,0.458504801
1,7,1958,21.7,12.9,0,51.9,190.5,0.76,0.821596244,0,0.295702006,0.589849108
1,8,1958,20.8,13.1,0,75.2,103.1,0.727272727,0.830985915,0,0.429226361,0.290123457
1,9,1958,20,12.1,0,83.8,134.8,0.698181818,0.784037559,0,0.478510029,0.398834019
1,10,1958,14.9,8.3,0,50.7,94.2,0.512727273,0.605633803,0,0.288825215,0.259602195
1,11,1958,9.7,4.4,1,50.7,40.8,0.323636364,0.422535211,0.035714286,0.288825215,0.076474623
1,12,1958,8,2.7,2,85.1,29.6,0.261818182,0.342723005,0.071428571,0.485959885,0.038065844
1,1,1959,5.7,-1.1,23,54.8,76.2,0.178181818,0.164319249,0.821428571,0.312320917,0.1978738
1,2,1959,7.4,1.2,7,2.4,54.8,0.24,0.272300469,0.25,0.012034384,0.124485597
1,3,1959,11.9,4.4,0,43.8,103.9,0.403636364,0.422535211,0,0.249283668,0.292866941
1,4,1959,14.2,6.3,0,52.9,139.1,0.487272727,0.511737089,0,0.301432665,0.413580247
1,5,1959,18.7,8,0,21.9,221.4,0.650909091,0.591549296,0,0.123782235,0.695816187
1,6,1959,22.1,11.1,0,16.2,231.6,0.774545455,0.737089202,0,0.091117479,0.73079561
1,7,1959,24.7,13.3,0,86.5,276.9,0.869090909,0.840375587,0,0.493982808,0.886145405
1,8,1959,24.2,13.7,0,27.6,240,0.850909091,0.85915493,0,0.156446991,0.759602195
1,9,1959,22.7,10.6,0,5.1,209.2,0.796363636,0.713615023,0,0.027507163,0.653978052
1,10,1959,17.8,8.5,0,46.9,150.1,0.618181818,0.615023474,0,0.267048711,0.451303155
1,11,1959,10.8,3.5,6,53.5,53,0.363636364,0.38028169,0.214285714,0.30487106,0.118312757
1,12,1959,9.3,3,1,75.7,30.2,0.309090909,0.356807512,0.035714286,0.432091691,0.040123457
1,1,1960,6.9,1.8,12,47.9,34.4,0.221818182,0.300469484,0.428571429,0.27277937,0.054526749
1,2,1960,7.9,1.6,7,48,80.1,0.258181818,0.291079812,0.25,0.273352436,0.211248285
1,3,1960,10.2,4.5,0,33.9,65,0.341818182,0.427230047,0,0.192550143,0.159465021
1,4,1960,14.3,4.6,1,12.4,156.1,0.490909091,0.431924883,0.035714286,0.069340974,0.471879287
1,5,1960,18.4,9.3,0,45.6,181.7,0.64,0.65258216,0,0.259598854,0.559670782
1,6,1960,22.1,12.1,0,42.8,248.6,0.774545455,0.784037559,0,0.243553009,0.78909465
1,7,1960,20.1,12.4,0,67.2,139.7,0.701818182,0.798122066,0,0.383381089,0.41563786
1,8,1960,20.3,11.8,0,60.8,150.9,0.709090909,0.769953052,0,0.346704871,0.454046639
1,9,1960,18.5,10.5,0,75.3,128.4,0.643636364,0.708920188,0,0.429799427,0.376886145
1,10,1960,14.2,8.2,0,155.5,75.2,0.487272727,0.600938967,0,0.889398281,0.194444444
1,11,1960,11.2,4.5,4,89.5,69.4,0.378181818,0.427230047,0.142857143,0.511174785,0.174554184
1,12,1960,6.9,2.1,5,56.5,44.5,0.221818182,0.314553991,0.178571429,0.322063037,0.089163237
1,1,1961,6.9,1.2,11,64.4,45.8,0.221818182,0.272300469,0.392857143,0.367335244,0.093621399
1,2,1961,10.3,4.9,0,55.1,56,0.345454545,0.44600939,0,0.314040115,0.128600823
